,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
157,Navio158,18,13,80641,9,18,27,13,31,2008,GLP,Porto4,Porto1,1
159,Navio160,29,17,142595,13,15,12,7,30,2008,GLP,Porto5,Porto4,1
162,Navio163,18,14,96646,16,12,15,10,79,2010,GS,Porto2,Porto5,1
163,Navio164,26,7,101468,16,12,28,19,102,2014,GS,Porto3,Porto1,1
164,Navio165,37,17,133160,16,15,26,10,42,2016,GS,Porto5,Porto5,1
165,Navio166,28,13,33405,18,18,16,9,33,2009,CNTR,Porto1,Porto5,1
166,Navio167,26,12,121777,8,15,25,9,56,2008,CG,Porto5,Porto4,1
167,Navio168,31,14,123699,18,12,25,17,36,2018,GLP,Porto5,Porto5,1
168,Navio169,39,10,104151,8,11,16,12,22,2019,GLP,Porto3,Porto3,1
169,Navio170,44,9,80622,13,18,19,11,22,2010,GS,Porto2,Porto3,1
170,Navio171,36,11,136558,11,17,23,10,13,2013,GL,Porto4,Porto5,1
173,Navio174,34,6,84202,12,15,26,19,42,2012,GS,Porto3,Porto3,1
174,Navio175,48,7,101266,9,14,24,17,22,2021,GS,Porto5,Porto4,1
175,Navio176,55,10,96925,9,10,31,18,43,2018,GLP,Porto5,Porto5,1
178,Navio179,21,17,129664,17,17,29,13,86,2017,CG,Porto3,Porto2,1
183,Navio184,39,7,145792,10,10,24,7,97,2006,CNTR,Porto2,Porto1,1
186,Navio187,33,17,104993,17,11,27,6,52,2007,GS,Porto2,Porto1,1
188,Navio189,30,15,114517,15,15,19,8,100,2007,GL,Porto3,Porto2,1
190,Navio191,53,14,83078,11,10,11,16,113,2020,GS,Porto1,Porto1,1
193,Navio194,46,12,107105,8,12,13,14,75,2010,CG,Porto4,Porto5,1
194,Navio195,59,15,125969,9,8,22,8,61,2016,GS,Porto2,Porto3,1
196,Navio197,39,16,89097,16,16,30,10,111,2019,GSM,Porto3,Porto1,1
198,Navio199,33,10,81103,9,12,17,9,96,2019,GL,Porto4,Porto1,1
199,Navio200,18,17,83988,15,16,24,9,89,2006,CG,Porto4,Porto1,1
201,Navio202,27,14,32993,13,17,23,10,112,2011,GLP,Porto2,Porto1,1
203,Navio204,50,17,89016,18,9,28,14,46,2014,GS,Porto5,Porto1,1
205,Navio206,20,13,45316,17,16,16,17,97,2013,GS,Porto1,Porto3,1
207,Navio208,58,13,95959,16,11,22,15,33,2014,GL,Porto5,Porto5,1
209,Navio210,26,16,43521,9,17,11,18,17,2007,GSM,Porto1,Porto3,1
210,Navio211,55,17,128920,9,18,14,6,30,2006,GSM,Porto4,Porto5,1
214,Navio215,52,10,41375,8,14,22,11,37,2014,CG,Porto4,Porto5,1
217,Navio218,17,13,39471,14,18,18,9,37,2012,CG,Porto1,Porto4,1
218,Navio219,42,13,95535,13,17,21,14,105,2016,GS,Porto1,Porto5,1
223,Navio224,44,9,45978,13,12,22,10,92,2014,GLP,Porto3,Porto2,1
226,Navio227,54,12,56213,9,10,27,14,30,2016,GLP,Porto4,Porto3,1
227,Navio228,24,9,134083,15,10,21,13,99,2007,GL,Porto4,Porto2,1
228,Navio229,24,11,147794,14,13,19,11,108,2009,CNTR,Porto2,Porto4,1
229,Navio230,56,14,131348,11,13,11,14,25,2010,CG,Porto1,Porto5,1
231,Navio232,18,11,38798,12,11,16,16,92,2017,GL,Porto1,Porto2,1
233,Navio234,59,6,95901,14,8,15,17,62,2018,GL,Porto4,Porto1,1
235,Navio236,46,12,89456,15,17,13,17,93,2016,GLP,Porto1,Porto2,1
239,Navio240,22,10,106983,10,18,34,9,54,2021,GL,Porto4,Porto5,1
240,Navio241,54,16,63236,11,17,29,17,113,2014,CNTR,Porto2,Porto5,1
242,Navio243,48,11,142389,11,10,31,16,110,2019,CG,Porto2,Porto4,1
243,Navio244,59,8,148222,11,13,10,8,47,2016,GLP,Porto2,Porto5,1
244,Navio245,49,16,63814,11,14,28,17,41,2021,CNTR,Porto5,Porto3,1
246,Navio247,39,10,124291,15,13,25,8,99,2012,GL,Porto3,Porto4,1
247,Navio248,48,17,84092,18,18,14,11,76,2009,CNTR,Porto4,Porto2,1
248,Navio249,20,13,93655,11,15,14,11,37,2010,GS,Porto1,Porto4,1
251,Navio252,15,17,57066,14,16,24,11,20,2011,GS,Porto1,Porto3,1
254,Navio255,20,17,130604,11,16,12,6,74,2009,CG,Porto1,Porto1,1
255,Navio256,31,6,153585,12,10,21,12,49,2022,CG,Porto4,Porto4,1
263,Navio264,40,6,57319,13,14,18,16,52,2010,CNTR,Porto2,Porto5,1
265,Navio266,54,11,84906,12,15,32,15,21,2019,CG,Porto2,Porto2,1
271,Navio272,32,11,107608,14,10,34,10,114,2006,CNTR,Porto5,Porto4,1
279,Navio280,17,17,99111,17,9,15,16,47,2013,CG,Porto5,Porto5,1
281,Navio282,36,9,145257,15,17,19,13,38,2015,CNTR,Porto3,Porto2,1
289,Navio290,22,17,96492,15,11,27,16,110,2019,GL,Porto2,Porto5,1
291,Navio292,43,10,45257,11,18,15,16,82,2007,GLP,Porto3,Porto3,1
294,Navio295,56,7,41481,11,14,24,18,46,2009,CNTR,Porto2,Porto2,1
296,Navio297,36,14,91363,15,12,18,16,69,2007,CG,Porto5,Porto5,1
299,Navio300,47,7,144452,18,15,12,13,19,2011,GSM,Porto1,Porto1,1
300,Navio301,42,10,31313,8,10,30,15,46,2012,CNTR,Porto2,Porto4,1
301,Navio302,24,10,142241,10,16,34,12,35,2017,CG,Porto3,Porto2,1
303,Navio304,58,15,121388,8,15,25,11,59,2016,GLP,Porto3,Porto2,1
306,Navio307,15,8,129040,11,17,28,14,40,2020,GLP,Porto4,Porto3,1
307,Navio308,37,9,149768,11,8,18,13,59,2020,GS,Porto4,Porto5,1
309,Navio310,57,6,122561,14,10,15,6,38,2022,GL,Porto5,Porto4,1
312,Navio313,39,13,37124,18,9,15,6,106,2009,GL,Porto1,Porto5,1
313,Navio314,18,11,147732,18,14,22,8,107,2017,GS,Porto5,Porto1,1
315,Navio316,42,11,72668,18,9,31,17,65,2011,CG,Porto4,Porto3,1
317,Navio318,38,17,102101,17,15,24,12,26,2014,CNTR,Porto1,Porto2,1
320,Navio321,23,17,87524,8,10,27,16,33,2012,CG,Porto2,Porto2,1
325,Navio326,15,14,61855,9,18,31,15,53,2019,GSM,Porto2,Porto3,1
326,Navio327,26,7,84469,12,13,26,14,34,2015,GS,Porto1,Porto3,1
328,Navio329,51,11,124753,8,15,19,14,44,2021,GS,Porto1,Porto3,1
331,Navio332,57,7,37625,18,15,16,14,80,2020,CNTR,Porto4,Porto4,1
332,Navio333,29,10,57774,12,12,13,15,108,2019,GLP,Porto3,Porto4,1
340,Navio341,34,17,133313,13,9,30,7,68,2018,GSM,Porto5,Porto2,1
342,Navio343,23,14,62081,14,14,22,5,90,2022,CNTR,Porto4,Porto2,1
345,Navio346,15,10,129750,16,14,27,9,25,2020,GL,Porto1,Porto1,1
347,Navio348,30,10,145910,15,17,34,19,36,2006,CNTR,Porto5,Porto4,1
348,Navio349,30,8,143102,18,17,32,11,68,2007,GS,Porto5,Porto1,1
351,Navio352,54,11,120149,16,16,28,10,26,2007,GL,Porto4,Porto2,1
352,Navio353,43,17,150166,14,16,16,9,31,2022,GS,Porto5,Porto3,1
355,Navio356,42,6,98986,13,12,18,6,59,2020,CNTR,Porto1,Porto3,1
356,Navio357,50,6,56519,15,16,14,18,29,2011,GLP,Porto4,Porto5,1
359,Navio360,49,13,109728,9,13,24,14,29,2019,GSM,Porto4,Porto1,1
361,Navio362,58,12,85721,8,17,31,19,93,2010,CG,Porto3,Porto1,1
362,Navio363,33,6,112730,8,12,18,13,40,2012,GSM,Porto4,Porto1,1
363,Navio364,38,8,77166,10,11,25,8,117,2007,GS,Porto5,Porto5,1
366,Navio367,57,11,81030,16,18,34,12,19,2017,CG,Porto4,Porto2,1
368,Navio369,31,13,114000,14,10,31,14,71,2019,GSM,Porto1,Porto3,1
374,Navio375,28,9,141106,15,14,18,17,74,2017,CNTR,Porto5,Porto3,1
376,Navio377,53,13,147546,14,13,10,15,39,2014,GLP,Porto2,Porto2,1
377,Navio378,54,7,146004,16,9,32,8,65,2015,CNTR,Porto1,Porto1,1
379,Navio380,28,12,118358,9,17,31,17,59,2011,CNTR,Porto1,Porto4,1
380,Navio381,22,16,133037,18,12,17,18,63,2009,CNTR,Porto3,Porto2,1
384,Navio385,40,12,143629,11,11,13,17,110,2019,GSM,Porto3,Porto1,1
388,Navio389,32,17,132646,15,18,32,8,83,2006,GL,Porto2,Porto2,1
390,Navio391,35,7,62314,11,13,30,7,26,2020,GSM,Porto4,Porto3,1
392,Navio393,17,8,154564,13,8,22,10,102,2015,CG,Porto5,Porto4,1
393,Navio394,31,12,122994,17,15,29,12,104,2012,CG,Porto5,Porto4,1
395,Navio396,39,8,77164,15,11,30,16,106,2017,GSM,Porto5,Porto3,1
396,Navio397,19,16,96816,13,9,24,16,25,2014,GSM,Porto2,Porto1,1
398,Navio399,59,17,147478,16,16,33,12,118,2009,CNTR,Porto1,Porto2,1
402,Navio403,35,17,40565,8,14,33,13,85,2009,GS,Porto1,Porto5,1
403,Navio404,48,14,146733,17,15,16,7,39,2018,GS,Porto3,Porto3,1
404,Navio405,52,11,62691,13,13,20,19,29,2014,GSM,Porto1,Porto2,1
405,Navio406,38,15,57062,9,8,30,9,113,2014,CG,Porto1,Porto2,1
410,Navio411,22,15,122218,11,13,18,7,107,2009,GL,Porto3,Porto2,1
411,Navio412,56,16,34077,10,14,32,6,113,2019,GLP,Porto1,Porto1,1
415,Navio416,51,11,85292,9,18,34,19,84,2020,GL,Porto5,Porto2,1
418,Navio419,18,12,78236,12,15,30,6,109,2015,GS,Porto3,Porto2,1
420,Navio421,16,12,130868,11,15,24,19,116,2017,CG,Porto4,Porto2,1
422,Navio423,51,7,41071,15,10,19,9,18,2021,CNTR,Porto4,Porto2,1
423,Navio424,19,7,49304,9,18,23,16,48,2008,GS,Porto5,Porto1,1
425,Navio426,25,6,48976,17,15,21,5,37,2022,GL,Porto1,Porto2,1
429,Navio430,58,10,40417,16,14,11,9,23,2008,GS,Porto3,Porto2,1
435,Navio436,50,10,52238,9,8,10,8,83,2007,GSM,Porto4,Porto3,1
436,Navio437,34,15,85627,9,8,28,14,48,2010,GS,Porto1,Porto1,1
438,Navio439,33,10,35314,10,13,29,18,71,2012,GS,Porto1,Porto1,1
442,Navio443,58,13,65578,17,13,28,6,30,2006,GS,Porto3,Porto1,1
444,Navio445,27,17,55222,18,15,18,10,52,2019,GSM,Porto3,Porto1,1
445,Navio446,51,16,71470,18,12,24,10,40,2015,CNTR,Porto3,Porto4,1
447,Navio448,15,15,42298,17,15,14,10,95,2012,CG,Porto1,Porto4,1
450,Navio451,51,16,98825,12,11,30,10,61,2022,GLP,Porto1,Porto3,1
454,Navio455,18,15,92277,15,10,10,8,43,2018,GS,Porto5,Porto1,1
455,Navio456,49,11,95444,12,18,11,13,64,2015,GS,Porto3,Porto5,1
456,Navio457,55,12,47445,9,10,32,17,74,2016,CG,Porto2,Porto2,1
457,Navio458,48,16,131970,18,8,19,18,67,2013,CNTR,Porto5,Porto5,1
461,Navio462,47,16,52656,12,15,18,9,91,2006,GS,Porto1,Porto4,1
462,Navio463,24,17,91760,13,11,25,6,68,2009,GS,Porto4,Porto2,1
463,Navio464,20,9,39097,16,15,26,14,99,2007,GL,Porto4,Porto5,1
464,Navio465,48,16,66670,14,9,31,13,89,2008,GLP,Porto5,Porto5,1
467,Navio468,23,9,80309,15,15,22,9,63,2020,GL,Porto5,Porto3,1
468,Navio469,35,10,131201,9,8,25,11,97,2019,GL,Porto2,Porto4,1
469,Navio470,22,7,154178,17,11,25,7,12,2009,GLP,Porto5,Porto4,1
470,Navio471,18,6,103333,8,11,28,15,47,2007,CNTR,Porto2,Porto3,1
472,Navio473,42,15,117209,16,8,33,12,99,2010,CG,Porto3,Porto2,1
474,Navio475,18,9,87295,12,15,31,17,60,2021,GS,Porto4,Porto4,1
477,Navio478,22,9,140976,16,18,28,17,96,2013,GSM,Porto2,Porto3,1
479,Navio480,46,10,62903,10,18,25,19,63,2013,CG,Porto5,Porto3,1
480,Navio481,15,12,129839,18,10,11,16,37,2009,GL,Porto2,Porto5,1
482,Navio483,42,13,121846,16,9,11,12,81,2008,GSM,Porto5,Porto2,1
484,Navio485,45,11,34988,12,12,22,16,91,2013,GS,Porto3,Porto4,1
490,Navio491,43,17,117452,15,17,24,9,13,2021,CG,Porto5,Porto5,1
492,Navio493,58,7,42552,14,9,19,5,118,2020,GL,Porto4,Porto4,1
495,Navio496,53,8,41349,16,18,29,13,10,2014,CG,Porto4,Porto5,1
496,Navio497,40,6,50746,12,11,13,13,42,2017,CNTR,Porto4,Porto2,1
498,Navio499,49,17,61112,11,16,15,10,21,2012,CG,Porto3,Porto5,1
502,Navio503,41,13,72644,17,15,19,17,59,2022,CG,Porto2,Porto3,1
505,Navio506,21,10,47968,12,11,20,10,104,2013,GSM,Porto3,Porto4,1
506,Navio507,48,10,31998,11,8,31,17,93,2008,GLP,Porto4,Porto4,1
511,Navio512,42,14,146193,8,16,34,13,83,2007,CG,Porto5,Porto3,1
513,Navio514,50,16,51561,18,11,20,7,119,2015,GL,Porto3,Porto1,1
514,Navio515,17,15,82741,13,9,11,10,110,2006,CNTR,Porto4,Porto1,1
516,Navio517,30,15,81510,9,17,12,13,38,2015,GL,Porto4,Porto2,1
518,Navio519,56,17,73424,15,14,26,11,77,2019,GL,Porto3,Porto5,1
519,Navio520,19,15,114447,8,14,23,13,105,2020,CNTR,Porto4,Porto4,1
521,Navio522,45,14,146891,12,9,19,13,119,2016,GL,Porto1,Porto5,1
522,Navio523,38,17,136583,13,16,22,9,103,2012,GL,Porto4,Porto2,1
524,Navio525,50,12,88311,10,8,19,13,106,2006,CNTR,Porto2,Porto4,1
525,Navio526,24,6,71005,10,14,12,9,48,2008,CG,Porto2,Porto5,1
528,Navio529,37,9,153527,15,11,19,14,40,2014,CG,Porto3,Porto4,1
530,Navio531,30,7,128497,17,18,31,19,24,2019,GSM,Porto1,Porto2,1
535,Navio536,55,7,134668,9,9,27,6,69,2006,GS,Porto3,Porto4,1
536,Navio537,15,16,80065,15,11,18,12,30,2015,GLP,Porto1,Porto2,1
538,Navio539,26,14,105925,15,12,30,6,26,2020,GSM,Porto4,Porto5,1
541,Navio542,45,17,113645,15,11,25,18,16,2011,GL,Porto3,Porto5,1
542,Navio543,21,13,137580,18,12,27,18,34,2008,GLP,Porto2,Porto3,1
543,Navio544,45,9,145594,16,15,15,14,37,2010,GSM,Porto4,Porto4,1
544,Navio545,30,10,81918,18,18,17,7,97,2019,CNTR,Porto5,Porto4,1
549,Navio550,22,10,133283,15,10,34,6,90,2022,GLP,Porto5,Porto1,1
552,Navio553,56,8,87043,13,18,23,6,10,2018,CG,Porto4,Porto1,1
554,Navio555,43,6,123825,17,14,31,10,84,2010,GS,Porto5,Porto3,1
557,Navio558,42,12,103225,8,15,27,5,55,2007,GL,Porto5,Porto1,1
558,Navio559,51,8,139375,12,14,20,18,45,2018,GSM,Porto4,Porto1,1
562,Navio563,48,16,138250,13,17,12,18,117,2016,GL,Porto2,Porto3,1
563,Navio564,27,14,37736,14,10,19,11,39,2022,GSM,Porto3,Porto4,1
565,Navio566,56,8,87517,12,11,16,5,48,2008,GL,Porto5,Porto5,1
566,Navio567,31,7,69757,18,16,22,18,25,2016,GLP,Porto5,Porto5,1
568,Navio569,23,8,53054,18,9,21,19,53,2008,GS,Porto4,Porto3,1
569,Navio570,25,17,131872,14,15,29,8,69,2013,GLP,Porto4,Porto3,1
570,Navio571,41,13,118634,16,10,16,17,22,2015,GS,Porto4,Porto5,1
571,Navio572,42,12,44588,8,10,16,19,22,2006,CNTR,Porto3,Porto4,1
572,Navio573,16,12,60280,11,15,33,8,52,2013,GLP,Porto2,Porto2,1
573,Navio574,15,8,145430,14,16,11,8,30,2015,GLP,Porto3,Porto3,1
576,Navio577,49,11,75678,12,17,28,14,106,2007,GL,Porto2,Porto5,1
578,Navio579,18,15,71054,16,18,19,18,46,2012,GSM,Porto2,Porto5,1
579,Navio580,52,15,31288,17,18,32,8,49,2021,GLP,Porto3,Porto2,1
580,Navio581,58,9,34715,18,14,18,7,77,2020,GLP,Porto4,Porto2,1
582,Navio583,39,17,36200,17,15,29,19,12,2012,GL,Porto1,Porto2,1
585,Navio586,21,8,73996,8,12,18,15,94,2011,GLP,Porto4,Porto3,1
587,Navio588,21,12,56282,10,16,10,15,47,2020,GS,Porto5,Porto3,1
588,Navio589,17,6,49558,17,15,29,14,38,2008,CNTR,Porto5,Porto4,1
589,Navio590,43,8,101013,15,17,32,19,40,2019,GS,Porto2,Porto5,1
596,Navio597,28,8,64034,12,11,20,11,41,2006,GSM,Porto4,Porto4,1
601,Navio602,23,7,77037,18,9,33,16,104,2022,GL,Porto1,Porto1,1
604,Navio605,52,6,55152,9,17,24,11,75,2010,GS,Porto5,Porto5,1
609,Navio610,16,17,94901,13,12,32,13,63,2020,GSM,Porto4,Porto5,1
613,Navio614,41,15,60079,16,11,31,18,92,2019,GS,Porto4,Porto5,1
616,Navio617,23,12,144959,15,17,11,15,63,2020,CG,Porto5,Porto4,1
617,Navio618,22,14,130581,13,11,24,12,59,2014,GL,Porto3,Porto3,1
618,Navio619,20,16,84389,16,12,22,5,91,2007,GLP,Porto1,Porto1,1
619,Navio620,57,15,60428,9,18,11,10,27,2014,CNTR,Porto3,Porto1,1
621,Navio622,25,11,74539,18,14,18,10,79,2009,CNTR,Porto1,Porto4,1
624,Navio625,18,10,79825,13,16,25,10,45,2007,GSM,Porto1,Porto1,1
627,Navio628,20,9,129597,11,13,24,5,54,2018,GLP,Porto2,Porto4,1
629,Navio630,32,12,78536,14,16,15,7,14,2010,GL,Porto5,Porto1,1
631,Navio632,45,12,54146,13,17,19,10,117,2011,GS,Porto3,Porto5,1
635,Navio636,55,14,76363,15,9,33,11,103,2007,GS,Porto2,Porto4,1
639,Navio640,33,9,56118,16,15,23,7,115,2016,CG,Porto4,Porto3,1
642,Navio643,22,7,140772,15,15,29,18,46,2014,GS,Porto4,Porto3,1
643,Navio644,58,7,109182,16,8,29,18,43,2021,CNTR,Porto3,Porto4,1
644,Navio645,48,16,57014,10,16,29,14,67,2006,GLP,Porto1,Porto4,1
647,Navio648,27,12,146606,12,18,31,14,34,2017,CG,Porto5,Porto2,1
650,Navio651,38,17,35171,12,18,30,16,10,2021,GS,Porto2,Porto3,1
654,Navio655,15,16,82319,14,15,27,12,16,2015,GL,Porto2,Porto2,1
655,Navio656,27,13,34743,14,15,21,11,78,2018,GLP,Porto1,Porto1,1
659,Navio660,22,15,118731,10,10,28,6,119,2019,GS,Porto1,Porto5,1
660,Navio661,18,17,72918,13,17,18,7,91,2009,CNTR,Porto1,Porto1,1
664,Navio665,22,13,63417,9,13,27,16,84,2009,CG,Porto1,Porto2,1
666,Navio667,44,16,146893,9,17,25,18,104,2011,GSM,Porto5,Porto3,1
667,Navio668,18,8,105789,16,9,10,5,113,2021,CNTR,Porto4,Porto4,1
668,Navio669,25,17,145287,11,17,30,13,32,2009,CNTR,Porto3,Porto3,1
669,Navio670,35,6,154696,11,9,25,13,30,2021,GS,Porto1,Porto3,1
673,Navio674,31,8,134636,11,12,23,13,69,2012,GL,Porto1,Porto2,1
674,Navio675,57,15,119752,8,18,34,5,72,2020,GL,Porto3,Porto4,1
675,Navio676,43,12,35733,16,8,20,9,111,2022,GSM,Porto2,Porto4,1
686,Navio687,41,17,136781,16,18,24,9,34,2022,GLP,Porto2,Porto5,1
687,Navio688,19,11,85564,11,17,27,14,82,2013,CNTR,Porto1,Porto1,1
691,Navio692,55,12,58348,9,8,33,19,82,2014,CG,Porto3,Porto3,1
692,Navio693,48,14,114625,14,18,19,6,70,2007,GS,Porto3,Porto2,1
696,Navio697,48,15,147175,10,13,10,6,83,2009,GLP,Porto4,Porto2,1
699,Navio700,40,12,85766,11,15,28,15,70,2018,GSM,Porto4,Porto5,1
700,Navio701,39,15,56712,15,14,13,13,23,2019,GS,Porto4,Porto3,1
703,Navio704,45,9,57861,14,8,25,17,70,2019,GLP,Porto3,Porto5,1
