,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
46,Navio619,20,16,84389,16,12,22,5,91,2007,GLP,Porto1,Porto1,1
47,Navio211,55,17,128920,9,18,14,6,30,2006,GSM,Porto4,Porto5,1
48,Navio256,31,6,153585,12,10,21,12,49,2022,CG,Porto4,Porto4,1
49,Navio6,24,7,168680,18,11,28,16,74,2010,GL,Porto4,Porto5,0
50,Navio204,50,17,89016,18,9,28,14,46,2014,GS,Porto5,Porto1,1
51,Navio475,18,9,87295,12,15,31,17,60,2021,GS,Porto4,Porto4,1
52,Navio150,28,10,143455,13,9,32,19,87,2014,GSM,Porto2,Porto4,1
53,Navio497,40,6,50746,12,11,13,13,42,2017,CNTR,Porto4,Porto2,1
54,Navio676,43,12,35733,16,8,20,9,111,2022,GSM,Porto2,Porto4,1
55,Navio58,19,17,140544,17,18,32,17,117,2011,CNTR,Porto4,Porto3,1
56,Navio602,23,7,77037,18,9,33,16,104,2022,GL,Porto1,Porto1,1
57,Navio380,28,12,118358,9,17,31,17,59,2011,CNTR,Porto1,Porto4,1
58,Navio228,24,9,134083,15,10,21,13,99,2007,GL,Porto4,Porto2,1
59,Navio290,22,17,96492,15,11,27,16,110,2019,GL,Porto2,Porto5,1
60,Navio403,35,17,40565,8,14,33,13,85,2009,GS,Porto1,Porto5,1
61,Navio579,18,15,71054,16,18,19,18,46,2012,GSM,Porto2,Porto5,1
62,Navio243,48,11,142389,11,10,31,16,110,2019,CG,Porto2,Porto4,1
63,Navio236,46,12,89456,15,17,13,17,93,2016,GLP,Porto1,Porto2,1
64,Navio353,43,17,150166,14,16,16,9,31,2022,GS,Porto5,Porto3,1
65,Navio614,41,15,60079,16,11,31,18,92,2019,GS,Porto4,Porto5,1
66,Navio564,27,14,37736,14,10,19,11,39,2022,GSM,Porto3,Porto4,1
67,Navio210,26,16,43521,9,17,11,18,17,2007,GSM,Porto1,Porto3,1
68,Navio590,43,8,101013,15,17,32,19,40,2019,GS,Porto2,Porto5,1
69,Navio82,27,11,65918,11,9,33,6,40,2011,GLP,Porto3,Porto4,1
70,Navio446,51,16,71470,18,12,24,10,40,2015,CNTR,Porto3,Porto4,1
71,Navio13,39,7,105647,10,18,12,8,13,2015,GLP,Porto3,Porto4,1
72,Navio15,16,8,140374,10,17,16,9,21,2014,GSM,Porto5,Porto4,1
73,Navio455,18,15,92277,15,10,10,8,43,2018,GS,Porto5,Porto1,1
74,Navio571,41,13,118634,16,10,16,17,22,2015,GS,Porto4,Porto5,1
75,Navio377,53,13,147546,14,13,10,15,39,2014,GLP,Porto2,Porto2,1
76,Navio375,28,9,141106,15,14,18,17,74,2017,CNTR,Porto5,Porto3,1
77,Navio51,15,15,156845,8,15,13,7,29,2009,CNTR,Porto5,Porto5,0
78,Navio122,35,13,107639,8,17,15,15,57,2019,GLP,Porto3,Porto1,1
79,Navio42,47,12,36899,16,18,14,12,69,2003,GLP,Porto1,Porto2,0
80,Navio167,26,12,121777,8,15,25,9,56,2008,CG,Porto5,Porto4,1
81,Navio32,50,8,78813,15,12,20,7,26,1999,GS,Porto4,Porto4,0
82,Navio103,44,14,42074,12,9,27,11,101,2016,GL,Porto4,Porto2,1
83,Navio39,47,10,187473,18,9,15,16,76,1999,GLP,Porto5,Porto5,0
84,Navio282,36,9,145257,15,17,19,13,38,2015,CNTR,Porto3,Porto2,1
85,Navio385,40,12,143629,11,11,13,17,110,2019,GSM,Porto3,Porto1,1
86,Navio49,49,8,83473,14,19,12,11,101,2004,GL,Porto5,Porto4,0
87,Navio348,30,10,145910,15,17,34,19,36,2006,CNTR,Porto5,Porto4,1
88,Navio391,35,7,62314,11,13,30,7,26,2020,GSM,Porto4,Porto3,1
89,Navio91,28,13,190170,9,19,23,16,116,2018,GL,Porto3,Porto4,0
90,Navio704,45,9,57861,14,8,25,17,70,2019,GLP,Porto3,Porto5,1
91,Navio625,18,10,79825,13,16,25,10,45,2007,GSM,Porto1,Porto1,1
92,Navio563,48,16,138250,13,17,12,18,117,2016,GL,Porto2,Porto3,1
93,Navio38,54,9,82105,15,12,19,8,88,2003,CG,Porto3,Porto5,0
94,Navio248,48,17,84092,18,18,14,11,76,2009,CNTR,Porto4,Porto2,1
95,Navio10,38,6,104038,19,9,32,9,40,2000,GSM,Porto5,Porto5,0
96,Navio56,32,7,95271,14,15,18,12,42,2013,GSM,Porto5,Porto2,1
97,Navio134,17,14,31803,10,10,27,12,66,2021,GLP,Porto3,Porto5,1
98,Navio577,49,11,75678,12,17,28,14,106,2007,GL,Porto2,Porto5,1
99,Navio478,22,9,140976,16,18,28,17,96,2013,GSM,Porto2,Porto3,1
100,Navio670,35,6,154696,11,9,25,13,30,2021,GS,Porto1,Porto3,1
101,Navio362,58,12,85721,8,17,31,19,93,2010,CG,Porto3,Porto1,1
102,Navio364,38,8,77166,10,11,25,8,117,2007,GS,Porto5,Porto5,1
103,Navio69,33,12,148420,12,18,28,15,44,2022,GS,Porto5,Porto2,1
104,Navio316,42,11,72668,18,9,31,17,65,2011,CG,Porto4,Porto3,1
105,Navio65,56,15,182326,15,19,30,19,49,2014,CG,Porto1,Porto3,0
106,Navio22,40,11,152326,8,15,34,18,110,2000,GLP,Porto4,Porto1,0
107,Navio574,15,8,145430,14,16,11,8,30,2015,GLP,Porto3,Porto3,1
108,Navio215,52,10,41375,8,14,22,11,37,2014,CG,Porto4,Porto5,1
109,Navio307,15,8,129040,11,17,28,14,40,2020,GLP,Porto4,Porto3,1
110,Navio674,31,8,134636,11,12,23,13,69,2012,GL,Porto1,Porto2,1
111,Navio468,23,9,80309,15,15,22,9,63,2020,GL,Porto5,Porto3,1
112,Navio314,18,11,147732,18,14,22,8,107,2017,GS,Porto5,Porto1,1
113,Navio206,20,13,45316,17,16,16,17,97,2013,GS,Porto1,Porto3,1
114,Navio512,42,14,146193,8,16,34,13,83,2007,CG,Porto5,Porto3,1
115,Navio166,28,13,33405,18,18,16,9,33,2009,CNTR,Porto1,Porto5,1
116,Navio539,26,14,105925,15,12,30,6,26,2020,GSM,Porto4,Porto5,1
117,Navio64,54,17,101209,19,10,28,19,95,2012,CG,Porto3,Porto4,0
118,Navio76,35,17,191234,13,15,17,14,56,2020,GLP,Porto1,Porto4,0
119,Navio163,18,14,96646,16,12,15,10,79,2010,GS,Porto2,Porto5,1
120,Navio145,17,6,130985,14,13,17,8,107,2018,GS,Porto1,Porto1,1
121,Navio61,46,14,145927,14,11,10,7,59,2022,GS,Porto5,Porto2,1
122,Navio419,18,12,78236,12,15,30,6,109,2015,GS,Porto3,Porto2,1
123,Navio36,34,14,104213,9,11,16,5,41,2020,GLP,Porto5,Porto5,1
124,Navio81,18,13,188204,9,13,33,6,29,2012,GSM,Porto5,Porto2,0
125,Navio75,57,14,54570,8,17,14,15,41,1998,GSM,Porto3,Porto5,0
126,Navio448,15,15,42298,17,15,14,10,95,2012,CG,Porto1,Porto4,1
127,Navio396,39,8,77164,15,11,30,16,106,2017,GSM,Porto5,Porto3,1
128,Navio436,50,10,52238,9,8,10,8,83,2007,GSM,Porto4,Porto3,1
129,Navio84,55,10,30523,10,19,10,7,50,2011,GLP,Porto5,Porto3,0
130,Navio234,59,6,95901,14,8,15,17,62,2018,GL,Porto4,Porto1,1
131,Navio301,42,10,31313,8,10,30,15,46,2012,CNTR,Porto2,Porto4,1
132,Navio48,43,8,37102,9,10,16,15,100,2017,CNTR,Porto3,Porto1,1
133,Navio50,15,11,193777,16,12,19,12,21,1999,CNTR,Porto3,Porto5,0
134,Navio125,29,9,110517,15,9,27,11,26,2012,GSM,Porto4,Porto5,1
135,Navio426,25,6,48976,17,15,21,5,37,2022,GL,Porto1,Porto2,1
136,Navio90,30,17,31058,19,19,16,18,31,2007,GLP,Porto5,Porto1,0
137,Navio97,46,17,182345,9,17,34,10,111,2010,CG,Porto2,Porto5,0
138,Navio245,49,16,63814,11,14,28,17,41,2021,CNTR,Porto5,Porto3,1
139,Navio53,20,10,123405,12,11,18,19,46,2022,GS,Porto2,Porto3,1
140,Navio37,29,12,149986,15,14,20,15,45,2021,CNTR,Porto4,Porto5,1
141,Navio52,51,11,51267,19,9,18,19,60,2016,CNTR,Porto3,Porto1,0
142,Navio357,50,6,56519,15,16,14,18,29,2011,GLP,Porto4,Porto5,1
143,Navio491,43,17,117452,15,17,24,9,13,2021,CG,Porto5,Porto5,1
144,Navio28,20,7,127476,8,14,31,8,48,1998,CNTR,Porto4,Porto2,0
145,Navio462,47,16,52656,12,15,18,9,91,2006,GS,Porto1,Porto4,1
146,Navio100,15,15,159985,15,19,19,7,119,2021,GLP,Porto5,Porto4,0
147,Navio3,18,7,108851,11,18,20,19,42,2018,GS,Porto1,Porto3,1
148,Navio164,26,7,101468,16,12,28,19,102,2014,GS,Porto3,Porto1,1
149,Navio640,33,9,56118,16,15,23,7,115,2016,CG,Porto4,Porto3,1
150,Navio667,44,16,146893,9,17,25,18,104,2011,GSM,Porto5,Porto3,1
151,Navio588,21,12,56282,10,16,10,15,47,2020,GS,Porto5,Porto3,1
152,Navio280,17,17,99111,17,9,15,16,47,2013,CG,Porto5,Porto5,1
153,Navio140,57,7,133640,16,12,15,6,53,2020,CG,Porto5,Porto3,1
154,Navio389,32,17,132646,15,18,32,8,83,2006,GL,Porto2,Porto2,1
155,Navio60,57,14,126168,17,14,30,11,67,2004,CNTR,Porto2,Porto3,0
156,Navio123,32,14,146249,12,11,19,18,79,2012,GL,Porto5,Porto3,1
157,Navio618,22,14,130581,13,11,24,12,59,2014,GL,Porto3,Porto3,1
158,Navio27,31,12,137400,9,12,14,9,40,2022,GS,Porto4,Porto3,1
159,Navio139,34,12,88231,18,12,27,19,67,2020,GSM,Porto3,Porto4,1
160,Navio96,15,12,162775,11,10,13,11,19,2010,CG,Porto5,Porto2,0
161,Navio443,58,13,65578,17,13,28,6,30,2006,GS,Porto3,Porto1,1
162,Navio352,54,11,120149,16,16,28,10,26,2007,GL,Porto4,Porto2,1
163,Navio343,23,14,62081,14,14,22,5,90,2022,CNTR,Porto4,Porto2,1
164,Navio471,18,6,103333,8,11,28,15,47,2007,CNTR,Porto2,Porto3,1
165,Navio597,28,8,64034,12,11,20,11,41,2006,GSM,Porto4,Porto4,1
166,Navio83,51,16,197431,12,14,14,19,47,2014,CG,Porto1,Porto1,0
167,Navio35,34,8,106032,15,19,19,14,112,2011,GSM,Porto2,Porto1,0
168,Navio20,32,11,121378,13,13,34,15,108,2006,GLP,Porto4,Porto4,1
169,Navio126,56,15,66773,12,10,28,6,60,2015,GL,Porto4,Porto5,1
170,Navio360,49,13,109728,9,13,24,14,29,2019,GSM,Porto4,Porto1,1
171,Navio483,42,13,121846,16,9,11,12,81,2008,GSM,Porto5,Porto2,1
172,Navio70,42,10,46018,11,13,10,5,73,2022,GS,Porto3,Porto4,1
173,Navio55,55,17,80626,16,12,26,8,94,2018,GL,Porto2,Porto4,1
174,Navio506,21,10,47968,12,11,20,10,104,2013,GSM,Porto3,Porto4,1
175,Navio665,22,13,63417,9,13,27,16,84,2009,CG,Porto1,Porto2,1
176,Navio89,38,16,110854,9,10,19,10,44,2022,GS,Porto5,Porto3,1
177,Navio41,24,7,138072,17,10,29,16,76,2007,GL,Porto5,Porto5,1
178,Navio73,50,11,134027,11,11,31,6,26,2006,GL,Porto2,Porto2,1
179,Navio174,34,6,84202,12,15,26,19,42,2012,GS,Porto3,Porto3,1
180,Navio412,56,16,34077,10,14,32,6,113,2019,GLP,Porto1,Porto1,1
181,Navio308,37,9,149768,11,8,18,13,59,2020,GS,Porto4,Porto5,1
182,Navio67,53,15,145367,10,8,26,10,89,2019,GLP,Porto4,Porto1,1
183,Navio80,19,17,46050,10,9,16,17,12,2018,GLP,Porto3,Porto1,1
184,Navio688,19,11,85564,11,17,27,14,82,2013,CNTR,Porto1,Porto1,1
185,Navio522,45,14,146891,12,9,19,13,119,2016,GL,Porto1,Porto5,1
186,Navio558,42,12,103225,8,15,27,5,55,2007,GL,Porto5,Porto1,1
187,Navio660,22,15,118731,10,10,28,6,119,2019,GS,Porto1,Porto5,1
188,Navio580,52,15,31288,17,18,32,8,49,2021,GLP,Porto3,Porto2,1
189,Navio102,49,8,129801,16,14,34,12,15,2011,GSM,Porto2,Porto1,1
190,Navio74,27,9,144476,18,16,32,6,109,2017,GS,Porto3,Porto1,1
191,Navio573,16,12,60280,11,15,33,8,52,2013,GLP,Porto2,Porto2,1
192,Navio675,57,15,119752,8,18,34,5,72,2020,GL,Porto3,Porto4,1
193,Navio550,22,10,133283,15,10,34,6,90,2022,GLP,Porto5,Porto1,1
194,Navio175,48,7,101266,9,14,24,17,22,2021,GS,Porto5,Porto4,1
195,Navio423,51,7,41071,15,10,19,9,18,2021,CNTR,Porto4,Porto2,1
196,Navio692,55,12,58348,9,8,33,19,82,2014,CG,Porto3,Porto3,1
197,Navio700,40,12,85766,11,15,28,15,70,2018,GSM,Porto4,Porto5,1
198,Navio669,25,17,145287,11,17,30,13,32,2009,CNTR,Porto3,Porto3,1
199,Navio59,56,7,182391,17,10,33,17,38,2019,GSM,Porto4,Porto1,0
200,Navio101,51,6,65371,8,18,34,13,78,2021,CNTR,Porto3,Porto5,1
201,Navio66,50,8,55139,8,11,14,19,62,2000,CG,Porto3,Porto2,0
202,Navio465,48,16,66670,14,9,31,13,89,2008,GLP,Porto5,Porto5,1
203,Navio651,38,17,35171,12,18,30,16,10,2021,GS,Porto2,Porto3,1
204,Navio367,57,11,81030,16,18,34,12,19,2017,CG,Porto4,Porto2,1
205,Navio572,42,12,44588,8,10,16,19,22,2006,CNTR,Porto3,Porto4,1
206,Navio570,25,17,131872,14,15,29,8,69,2013,GLP,Porto4,Porto3,1
207,Navio310,57,6,122561,14,10,15,6,38,2022,GL,Porto5,Porto4,1
208,Navio244,59,8,148222,11,13,10,8,47,2016,GLP,Porto2,Porto5,1
209,Navio179,21,17,129664,17,17,29,13,86,2017,CG,Porto3,Porto2,1
210,Navio21,52,14,62821,15,14,20,5,34,2004,CNTR,Porto2,Porto5,0
211,Navio630,32,12,78536,14,16,15,7,14,2010,GL,Porto5,Porto1,1
212,Navio356,42,6,98986,13,12,18,6,59,2020,CNTR,Porto1,Porto3,1
213,Navio229,24,11,147794,14,13,19,11,108,2009,CNTR,Porto2,Porto4,1
214,Navio589,17,6,49558,17,15,29,14,38,2008,CNTR,Porto5,Porto4,1
215,Navio543,21,13,137580,18,12,27,18,34,2008,GLP,Porto2,Porto3,1
216,Navio187,33,17,104993,17,11,27,6,52,2007,GS,Porto2,Porto1,1
217,Navio537,15,16,80065,15,11,18,12,30,2015,GLP,Porto1,Porto2,1
218,Navio26,35,15,171685,14,18,21,9,91,2021,CNTR,Porto5,Porto1,0
219,Navio655,15,16,82319,14,15,27,12,16,2015,GL,Porto2,Porto2,1
220,Navio86,30,6,84986,18,16,14,13,113,1998,GLP,Porto5,Porto4,0
221,Navio496,53,8,41349,16,18,29,13,10,2014,CG,Porto4,Porto5,1
222,Navio583,39,17,36200,17,15,29,19,12,2012,GL,Porto1,Porto2,1
223,Navio18,38,10,76361,17,19,31,5,95,2004,GLP,Porto5,Porto3,0
224,Navio99,45,12,64173,9,8,14,14,105,2012,GS,Porto4,Porto4,1
225,Navio369,31,13,114000,14,10,31,14,71,2019,GSM,Porto1,Porto3,1
226,Navio34,44,15,158790,14,8,31,14,52,2011,GL,Porto1,Porto1,0
227,Navio645,48,16,57014,10,16,29,14,67,2006,GLP,Porto1,Porto4,1
228,Navio302,24,10,142241,10,16,34,12,35,2017,CG,Porto3,Porto2,1
229,Navio5,54,11,47921,11,10,21,12,20,2016,GLP,Porto5,Porto4,1
230,Navio661,18,17,72918,13,17,18,7,91,2009,CNTR,Porto1,Porto1,1
231,Navio19,39,17,134699,10,13,19,15,105,2011,GSM,Porto3,Porto2,1
232,Navio405,52,11,62691,13,13,20,19,29,2014,GSM,Porto1,Porto2,1
233,Navio458,48,16,131970,18,8,19,18,67,2013,CNTR,Porto5,Porto5,1
234,Navio77,26,13,116166,17,8,19,15,53,2014,GSM,Porto2,Porto2,1
235,Navio333,29,10,57774,12,12,13,15,108,2019,GLP,Porto3,Porto4,1
236,Navio1,59,12,93953,11,8,21,14,16,2019,GL,Porto3,Porto5,1
237,Navio349,30,8,143102,18,17,32,11,68,2007,GS,Porto5,Porto1,1
238,Navio566,56,8,87517,12,11,16,5,48,2008,GL,Porto5,Porto5,1
239,Navio266,54,11,84906,12,15,32,15,21,2019,CG,Porto2,Porto2,1
240,Navio693,48,14,114625,14,18,19,6,70,2007,GS,Porto3,Porto2,1
241,Navio517,30,15,81510,9,17,12,13,38,2015,GL,Porto4,Porto2,1
242,Navio195,59,15,125969,9,8,22,8,61,2016,GS,Porto2,Porto3,1
243,Navio45,38,14,187618,19,13,28,9,95,2010,GLP,Porto4,Porto2,0
244,Navio536,55,7,134668,9,9,27,6,69,2006,GS,Porto3,Porto4,1
245,Navio526,24,6,71005,10,14,12,9,48,2008,CG,Porto2,Porto5,1
246,Navio94,56,17,106931,16,18,21,7,107,2013,CG,Porto1,Porto3,1
247,Navio544,45,9,145594,16,15,15,14,37,2010,GSM,Porto4,Porto4,1
248,Navio363,33,6,112730,8,12,18,13,40,2012,GSM,Porto4,Porto1,1
249,Navio199,33,10,81103,9,12,17,9,96,2019,GL,Porto4,Porto1,1
250,Navio191,53,14,83078,11,10,11,16,113,2020,GS,Porto1,Porto1,1
251,Navio158,18,13,80641,9,18,27,13,31,2008,GLP,Porto4,Porto1,1
252,Navio155,23,8,109676,16,11,21,18,117,2011,CNTR,Porto3,Porto2,1
253,Navio399,59,17,147478,16,16,33,12,118,2009,CNTR,Porto1,Porto2,1
254,Navio378,54,7,146004,16,9,32,8,65,2015,CNTR,Porto1,Porto1,1
255,Navio119,18,15,121467,9,16,21,12,110,2021,CG,Porto3,Porto3,1
256,Navio636,55,14,76363,15,9,33,11,103,2007,GS,Porto2,Porto4,1
257,Navio87,35,11,51818,11,13,25,5,63,2004,GSM,Porto1,Porto2,0
258,Navio581,58,9,34715,18,14,18,7,77,2020,GLP,Porto4,Porto2,1
259,Navio463,24,17,91760,13,11,25,6,68,2009,GS,Porto4,Porto2,1
260,Navio63,16,6,53190,12,16,32,9,52,2017,GLP,Porto3,Porto5,1
261,Navio30,15,12,33702,14,14,28,7,66,2003,GL,Porto2,Porto5,0
262,Navio171,36,11,136558,11,17,23,10,13,2013,GL,Porto4,Porto5,1
263,Navio165,37,17,133160,16,15,26,10,42,2016,GS,Porto5,Porto5,1
264,Navio95,50,7,185515,18,19,17,14,62,2013,GSM,Porto4,Porto2,0
265,Navio304,58,15,121388,8,15,25,11,59,2016,GLP,Porto3,Porto2,1
266,Navio329,51,11,124753,8,15,19,14,44,2021,GS,Porto1,Porto3,1
267,Navio16,53,8,51900,9,18,11,16,13,2020,CG,Porto2,Porto4,1
268,Navio555,43,6,123825,17,14,31,10,84,2010,GS,Porto5,Porto3,1
269,Navio622,25,11,74539,18,14,18,10,79,2009,CNTR,Porto1,Porto4,1
270,Navio520,19,15,114447,8,14,23,13,105,2020,CNTR,Porto4,Porto4,1
271,Navio111,15,10,89072,9,10,25,10,90,2013,CNTR,Porto4,Porto2,1
272,Navio439,33,10,35314,10,13,29,18,71,2012,GS,Porto1,Porto1,1
273,Navio514,50,16,51561,18,11,20,7,119,2015,GL,Porto3,Porto1,1
274,Navio93,20,14,74102,12,19,13,6,86,2018,GLP,Porto1,Porto1,0
275,Navio8,36,8,125016,12,14,22,10,54,2004,GSM,Porto4,Porto2,0
276,Navio85,29,17,187375,17,13,21,18,11,2022,GLP,Porto3,Porto5,0
277,Navio668,18,8,105789,16,9,10,5,113,2021,CNTR,Porto4,Porto4,1
278,Navio137,15,7,62039,17,18,15,8,68,2021,GLP,Porto2,Porto2,1
279,Navio569,23,8,53054,18,9,21,19,53,2008,GS,Porto4,Porto3,1
280,Navio68,26,9,61743,15,18,22,10,37,2015,GL,Porto4,Porto1,1
281,Navio62,16,9,164522,12,13,11,19,59,2008,CG,Porto5,Porto4,0
282,Navio697,48,15,147175,10,13,10,6,83,2009,GLP,Porto4,Porto2,1
283,Navio57,30,16,107224,18,15,19,8,45,1998,CG,Porto2,Porto4,0
284,Navio202,27,14,32993,13,17,23,10,112,2011,GLP,Porto2,Porto1,1
285,Navio424,19,7,49304,9,18,23,16,48,2008,GS,Porto5,Porto1,1
286,Navio129,25,13,127273,17,17,20,18,10,2011,CNTR,Porto3,Porto5,1
287,Navio542,45,17,113645,15,11,25,18,16,2011,GL,Porto3,Porto5,1
288,Navio4,18,16,111313,16,14,31,9,44,1999,GSM,Porto4,Porto5,0
289,Navio230,56,14,131348,11,13,11,14,25,2010,CG,Porto1,Porto5,1
290,Navio473,42,15,117209,16,8,33,12,99,2010,CG,Porto3,Porto2,1
291,Navio321,23,17,87524,8,10,27,16,33,2012,CG,Porto2,Porto2,1
292,Navio47,26,11,118330,15,12,17,15,114,2002,GS,Porto3,Porto5,0
293,Navio295,56,7,41481,11,14,24,18,46,2009,CNTR,Porto2,Porto2,1
294,Navio115,17,9,76132,16,17,16,9,39,2018,CNTR,Porto4,Porto1,1
295,Navio227,54,12,56213,9,10,27,14,30,2016,GLP,Porto4,Porto3,1
296,Navio327,26,7,84469,12,13,26,14,34,2015,GS,Porto1,Porto3,1
297,Navio71,15,13,144144,19,8,22,7,84,2012,GSM,Porto3,Porto2,0
298,Navio545,30,10,81918,18,18,17,7,97,2019,CNTR,Porto5,Porto4,1
299,Navio300,47,7,144452,18,15,12,13,19,2011,GSM,Porto1,Porto1,1
300,Navio469,35,10,131201,9,8,25,11,97,2019,GL,Porto2,Porto4,1
301,Navio332,57,7,37625,18,15,16,14,80,2020,CNTR,Porto4,Porto4,1
302,Navio687,41,17,136781,16,18,24,9,34,2022,GLP,Porto2,Porto5,1
303,Navio620,57,15,60428,9,18,11,10,27,2014,CNTR,Porto3,Porto1,1
304,Navio147,45,17,104094,16,8,32,6,38,2011,CG,Porto2,Porto5,1
305,Navio567,31,7,69757,18,16,22,18,25,2016,GLP,Porto5,Porto5,1
306,Navio44,25,14,66509,19,8,31,14,58,2021,GS,Porto5,Porto5,0
307,Navio136,47,11,32410,18,8,25,8,97,2008,GL,Porto5,Porto4,1
308,Navio507,48,10,31998,11,8,31,17,93,2008,GLP,Porto4,Porto4,1
309,Navio499,49,17,61112,11,16,15,10,21,2012,CG,Porto3,Porto5,1
310,Navio241,54,16,63236,11,17,29,17,113,2014,CNTR,Porto2,Porto5,1
311,Navio23,28,7,135819,14,11,13,13,73,2018,CG,Porto3,Porto4,1
312,Navio318,38,17,102101,17,15,24,12,26,2014,CNTR,Porto1,Porto2,1
313,Navio648,27,12,146606,12,18,31,14,34,2017,CG,Porto5,Porto2,1
314,Navio14,27,17,111857,18,19,21,15,82,2004,CG,Porto1,Porto4,0
315,Navio411,22,15,122218,11,13,18,7,107,2009,GL,Porto3,Porto2,1
316,Navio176,55,10,96925,9,10,31,18,43,2018,GLP,Porto5,Porto5,1
317,Navio224,44,9,45978,13,12,22,10,92,2014,GLP,Porto3,Porto2,1
318,Navio632,45,12,54146,13,17,19,10,117,2011,GS,Porto3,Porto5,1
319,Navio264,40,6,57319,13,14,18,16,52,2010,CNTR,Porto2,Porto5,1
320,Navio559,51,8,139375,12,14,20,18,45,2018,GSM,Porto4,Porto1,1
321,Navio31,33,8,198789,13,17,16,10,39,2019,GLP,Porto4,Porto1,0
322,Navio218,17,13,39471,14,18,18,9,37,2012,CG,Porto1,Porto4,1
