Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
Navio34,44,15,158790,14,8,31,14,52,2009,GL,Porto4,Porto5,0
Navio35,34,8,106032,15,19,19,14,112,2010,GSM,Porto4,Porto3,0
Navio36,34,14,104213,9,11,16,5,41,2005,GLP,Porto1,Porto2,0
Navio37,29,12,149986,15,14,20,15,45,1990,CNTR,Porto4,Porto3,0
Navio38,54,9,82105,15,12,19,8,88,2014,CG,Porto4,Porto3,1
Navio39,47,10,187473,18,9,15,16,76,2015,GLP,Porto1,Porto1,0
Navio40,16,16,172580,11,15,21,12,76,2004,GL,Porto5,Porto2,0
Navio41,24,7,138072,17,10,29,16,76,2006,GL,Porto2,Porto2,1
Navio42,47,12,36899,16,18,14,12,69,2019,GLP,Porto3,Porto4,1
Navio43,46,12,30922,15,11,25,6,114,2014,GSM,Porto3,Porto3,1
Navio44,25,14,66509,19,8,31,14,58,2015,GS,Porto2,Porto5,0
Navio45,38,14,187618,19,13,28,9,95,2004,GLP,Porto3,Porto1,0
Navio46,50,14,140777,17,15,24,12,44,2018,GS,Porto5,Porto1,1
Navio47,26,11,118330,15,12,17,15,114,2009,GS,Porto1,Porto1,1
Navio48,43,8,37102,9,10,16,15,100,1998,CNTR,Porto3,Porto3,0
Navio49,49,8,83473,14,19,12,11,101,2009,GL,Porto3,Porto1,0
Navio50,15,11,193777,16,12,19,12,21,2022,CNTR,Porto1,Porto3,0
Navio51,15,15,156845,8,15,13,7,29,2012,CNTR,Porto3,Porto5,0
Navio52,51,11,51267,19,9,18,19,60,2006,CNTR,Porto2,Porto2,0
Navio53,20,10,123405,12,11,18,19,46,2021,GS,Porto3,Porto4,1
Navio54,53,16,102709,11,8,13,17,117,1994,GLP,Porto3,Porto3,0
Navio55,55,17,80626,16,12,26,8,94,2010,GL,Porto2,Porto5,1
Navio56,32,7,95271,14,15,18,12,42,2003,GSM,Porto3,Porto2,0
Navio57,30,16,107224,18,15,19,8,45,2006,CG,Porto4,Porto5,1
Navio58,19,17,140544,17,18,32,17,117,2003,CNTR,Porto4,Porto5,0
Navio59,56,7,182391,17,10,33,17,38,2016,GSM,Porto3,Porto4,0
Navio60,57,14,126168,17,14,30,11,67,2022,CNTR,Porto2,Porto1,1
Navio61,46,14,145927,14,11,10,7,59,1996,GS,Porto2,Porto4,0
Navio62,16,9,164522,12,13,11,19,59,2014,CG,Porto4,Porto4,0
Navio63,16,6,53190,12,16,32,9,52,1999,GLP,Porto5,Porto2,0
Navio64,54,17,101209,19,10,28,19,95,2011,CG,Porto1,Porto5,0
Navio65,56,15,182326,15,19,30,19,49,2010,CG,Porto1,Porto3,0
Navio66,50,8,55139,8,11,14,19,62,2018,CG,Porto3,Porto1,1
Navio67,53,15,145367,10,8,26,10,89,2005,GLP,Porto4,Porto5,0
Navio68,26,9,61743,15,18,22,10,37,2005,GL,Porto3,Porto3,0
Navio69,33,12,148420,12,18,28,15,44,2002,GS,Porto1,Porto5,0
Navio70,42,10,46018,11,13,10,5,73,2021,GS,Porto3,Porto3,1
Navio71,15,13,144144,19,8,22,7,84,2003,GSM,Porto1,Porto4,0
Navio72,29,11,85776,8,12,29,5,89,2008,GLP,Porto5,Porto2,1
Navio73,50,11,134027,11,11,31,6,26,2015,GL,Porto4,Porto3,1
Navio74,27,9,144476,18,16,32,6,109,1994,GS,Porto3,Porto4,0
Navio75,57,14,54570,8,17,14,15,41,1995,GSM,Porto1,Porto4,0
Navio76,35,17,191234,13,15,17,14,56,2020,GLP,Porto5,Porto3,0
Navio77,26,13,116166,17,8,19,15,53,1998,GSM,Porto2,Porto5,0
Navio78,19,16,138002,18,11,23,19,79,1992,CNTR,Porto4,Porto2,0
Navio79,21,7,125135,9,17,31,9,76,2005,GS,Porto3,Porto1,0
Navio80,19,17,46050,10,9,16,17,12,2022,GLP,Porto5,Porto2,1
Navio81,18,13,188204,9,13,33,6,29,1993,GSM,Porto3,Porto2,0
Navio82,27,11,65918,11,9,33,6,40,1993,GLP,Porto4,Porto3,0
Navio83,51,16,197431,12,14,14,19,47,2011,CG,Porto5,Porto3,0
Navio84,55,10,30523,10,19,10,7,50,1996,GLP,Porto5,Porto3,0
Navio85,29,17,187375,17,13,21,18,11,2011,GLP,Porto3,Porto2,0
Navio86,30,6,84986,18,16,14,13,113,2004,GLP,Porto2,Porto4,0
Navio87,35,11,51818,11,13,25,5,63,2004,GSM,Porto5,Porto1,0
Navio88,50,17,88537,17,15,33,18,14,2007,GL,Porto3,Porto2,1
Navio89,38,16,110854,9,10,19,10,44,2020,GS,Porto4,Porto2,1
Navio90,30,17,31058,19,19,16,18,31,2009,GLP,Porto1,Porto1,0
Navio91,28,13,190170,9,19,23,16,116,2022,GL,Porto5,Porto2,0
Navio92,36,17,54500,14,13,23,14,61,2022,GSM,Porto5,Porto1,1
Navio93,20,14,74102,12,19,13,6,86,2019,GLP,Porto2,Porto5,0
Navio94,56,17,106931,16,18,21,7,107,2013,CG,Porto5,Porto4,1
Navio95,50,7,185515,18,19,17,14,62,1996,GSM,Porto5,Porto1,0
Navio96,15,12,162775,11,10,13,11,19,2021,CG,Porto1,Porto4,0
Navio97,46,17,182345,9,17,34,10,111,2012,CG,Porto4,Porto4,0
Navio98,20,16,74962,8,15,13,15,29,2012,CG,Porto3,Porto3,1
Navio99,45,12,64173,9,8,14,14,105,2022,GS,Porto4,Porto1,1
Navio100,15,15,159985,15,19,19,7,119,1991,GLP,Porto3,Porto2,0
Navio101,51,6,65371,8,18,34,13,78,2010,CNTR,Porto4,Porto4,1
Navio102,49,8,129801,16,14,34,12,15,2010,GSM,Porto1,Porto4,1
Navio103,44,14,42074,12,9,27,11,101,2003,GL,Porto2,Porto4,0
Navio104,18,12,41763,19,8,12,9,112,1996,GS,Porto4,Porto4,0
Navio105,49,12,33764,17,15,31,9,63,2010,GS,Porto2,Porto1,1
Navio106,57,17,177911,18,15,31,18,91,2000,CNTR,Porto1,Porto4,0
Navio107,28,17,51597,19,12,34,11,88,2011,CG,Porto2,Porto5,0
Navio108,54,9,148807,15,8,33,10,115,2020,CG,Porto2,Porto1,1
Navio109,36,10,134793,18,11,23,6,82,1991,GS,Porto3,Porto3,0
Navio110,24,10,125312,17,13,20,10,91,1996,GS,Porto4,Porto5,0
Navio111,15,10,89072,9,10,25,10,90,2018,CNTR,Porto1,Porto3,1
Navio112,25,7,100130,18,8,15,5,78,2002,GLP,Porto5,Porto1,0
Navio113,58,10,72947,17,11,15,17,119,2001,CNTR,Porto1,Porto3,0
Navio114,38,17,183030,16,15,16,11,51,2002,GL,Porto1,Porto4,0
Navio115,17,9,76132,16,17,16,9,39,1995,CNTR,Porto3,Porto3,0
Navio116,49,14,70512,9,19,11,7,58,2010,GLP,Porto5,Porto5,0
Navio117,50,16,76856,12,15,18,12,37,2005,GSM,Porto3,Porto1,0
Navio118,45,16,184392,9,13,33,9,76,2006,GLP,Porto1,Porto3,0
Navio119,18,15,121467,9,16,21,12,110,1990,CG,Porto2,Porto3,0
Navio120,33,8,132206,18,15,20,6,101,2015,CG,Porto2,Porto4,1
Navio121,50,7,154149,13,10,31,5,63,2019,CNTR,Porto1,Porto2,1
Navio122,35,13,107639,8,17,15,15,57,2001,GLP,Porto4,Porto1,0
Navio123,32,14,146249,12,11,19,18,79,2016,GL,Porto3,Porto3,1
Navio124,42,9,89827,16,8,31,16,101,1996,GLP,Porto2,Porto2,0
Navio125,29,9,110517,15,9,27,11,26,2012,GSM,Porto3,Porto2,1
Navio126,56,15,66773,12,10,28,6,60,2019,GL,Porto1,Porto4,1
Navio127,16,6,166959,19,15,12,15,109,2008,GL,Porto5,Porto3,0
Navio128,51,13,138330,19,8,18,7,52,2016,CNTR,Porto4,Porto1,0
Navio129,25,13,127273,17,17,20,18,10,2001,CNTR,Porto1,Porto5,0
Navio130,37,11,98620,13,10,10,19,86,2011,CNTR,Porto3,Porto5,1
Navio131,58,9,49216,8,11,11,18,17,1998,GSM,Porto3,Porto4,0
Navio132,55,17,111081,10,18,21,16,100,2022,GS,Porto5,Porto2,1
Navio133,26,13,111477,19,17,12,5,26,2016,GSM,Porto3,Porto1,0
Navio134,17,14,31803,10,10,27,12,66,2005,GLP,Porto4,Porto4,0
Navio135,31,11,156934,9,16,21,11,106,2006,GS,Porto2,Porto4,0
Navio136,47,11,32410,18,8,25,8,97,1990,GL,Porto2,Porto3,0
Navio137,15,7,62039,17,18,15,8,68,1999,GLP,Porto5,Porto5,0
Navio138,53,13,199216,9,10,33,6,25,1997,CNTR,Porto4,Porto1,0
Navio139,34,12,88231,18,12,27,19,67,2019,GSM,Porto5,Porto3,1
Navio140,57,7,133640,16,12,15,6,53,1990,CG,Porto2,Porto3,0
Navio141,55,14,53516,11,19,21,9,98,2022,CG,Porto3,Porto3,0
Navio142,28,16,199727,19,18,12,7,112,2022,GS,Porto5,Porto4,0
Navio143,45,7,172206,17,18,18,6,22,2004,CNTR,Porto4,Porto4,0
Navio144,39,8,43406,11,8,21,7,115,1997,GSM,Porto3,Porto3,0
Navio145,17,6,130985,14,13,17,8,107,2014,GS,Porto5,Porto3,1
Navio146,18,8,142564,17,19,22,18,18,2006,CNTR,Porto4,Porto5,0
Navio147,45,17,104094,16,8,32,6,38,2000,CG,Porto3,Porto1,0
Navio148,49,16,152814,12,18,30,6,21,1999,GSM,Porto2,Porto3,0
Navio149,58,10,60190,12,16,10,8,42,2001,CG,Porto2,Porto2,0
Navio150,28,10,143455,13,9,32,19,87,2010,GSM,Porto3,Porto1,1
Navio151,55,14,198584,16,16,11,7,92,2009,GL,Porto4,Porto2,0
Navio152,23,10,137108,12,8,31,12,87,2010,GS,Porto2,Porto4,1
Navio153,34,13,85988,15,10,29,15,16,2022,GS,Porto5,Porto5,1
Navio154,46,11,101886,18,13,24,18,92,2012,CG,Porto1,Porto3,1
Navio155,23,8,109676,16,11,21,18,117,2013,CNTR,Porto5,Porto4,1
Navio156,41,9,35860,10,16,29,13,86,2019,CG,Porto2,Porto1,1
Navio157,17,6,170091,12,17,19,19,89,2013,GS,Porto4,Porto4,0
Navio158,18,13,80641,9,18,27,13,31,1996,GLP,Porto2,Porto5,0
Navio159,59,15,170219,13,19,14,13,51,1995,CNTR,Porto1,Porto2,0
Navio160,29,17,142595,13,15,12,7,30,2004,GLP,Porto2,Porto4,0
Navio161,47,12,132499,18,16,16,19,100,2001,GLP,Porto5,Porto1,0
Navio162,19,15,107633,9,14,31,16,27,2016,CNTR,Porto2,Porto1,1
Navio163,18,14,96646,16,12,15,10,79,2002,GS,Porto5,Porto3,0
Navio164,26,7,101468,16,12,28,19,102,2017,GS,Porto1,Porto4,1
Navio165,37,17,133160,16,15,26,10,42,2014,GS,Porto4,Porto1,1
Navio166,28,13,33405,18,18,16,9,33,2022,CNTR,Porto4,Porto1,1
Navio167,26,12,121777,8,15,25,9,56,1992,CG,Porto2,Porto5,0
Navio168,31,14,123699,18,12,25,17,36,1992,GLP,Porto5,Porto5,0
Navio169,39,10,104151,8,11,16,12,22,2002,GLP,Porto4,Porto2,0
Navio170,44,9,80622,13,18,19,11,22,2013,GS,Porto5,Porto1,1
Navio171,36,11,136558,11,17,23,10,13,2011,GL,Porto4,Porto3,1
Navio172,40,16,168214,17,17,30,14,88,1997,GS,Porto2,Porto1,0
Navio173,31,8,187979,13,12,11,9,88,2021,GSM,Porto1,Porto2,0
Navio174,34,6,84202,12,15,26,19,42,1993,GS,Porto3,Porto4,0
Navio175,48,7,101266,9,14,24,17,22,1996,GS,Porto1,Porto3,0
Navio176,55,10,96925,9,10,31,18,43,2018,GLP,Porto4,Porto3,1
Navio177,47,16,49887,19,15,11,8,38,2008,GS,Porto1,Porto1,0
Navio178,51,6,163017,10,12,17,18,23,2002,CG,Porto1,Porto5,0
Navio179,21,17,129664,17,17,29,13,86,1991,CG,Porto2,Porto4,0
Navio180,36,11,197152,11,9,29,8,41,2003,CNTR,Porto1,Porto5,0
Navio181,46,14,143865,18,10,24,14,89,1998,GS,Porto2,Porto4,0
Navio182,28,9,73673,13,14,30,12,118,2020,GL,Porto4,Porto1,1
Navio183,22,15,70437,19,12,31,13,73,2005,CG,Porto4,Porto2,0
Navio184,39,7,145792,10,10,24,7,97,2018,CNTR,Porto5,Porto2,1
Navio185,30,11,119834,11,15,13,19,102,2022,GS,Porto2,Porto3,1
Navio186,56,16,93076,9,19,18,15,99,2017,CNTR,Porto1,Porto2,0
Navio187,33,17,104993,17,11,27,6,52,2019,GS,Porto2,Porto3,1
Navio188,55,17,152733,19,8,18,16,12,2015,GLP,Porto5,Porto1,0
Navio189,30,15,114517,15,15,19,8,100,2001,GL,Porto3,Porto5,0
Navio190,26,6,187124,17,9,32,15,99,2008,GLP,Porto2,Porto5,0
Navio191,53,14,83078,11,10,11,16,113,2002,GS,Porto2,Porto3,0
Navio192,44,16,66796,19,16,13,15,50,2011,GSM,Porto3,Porto3,0
Navio193,16,7,98858,12,19,10,16,118,1996,GS,Porto2,Porto5,0
Navio194,46,12,107105,8,12,13,14,75,1999,CG,Porto3,Porto4,0
Navio195,59,15,125969,9,8,22,8,61,1990,GS,Porto2,Porto3,0
Navio196,39,13,125707,19,15,32,8,71,1995,CNTR,Porto3,Porto1,0
Navio197,39,16,89097,16,16,30,10,111,2016,GSM,Porto2,Porto5,1
Navio198,18,7,162517,19,19,18,8,65,2003,GSM,Porto3,Porto3,0
Navio199,33,10,81103,9,12,17,9,96,2004,GL,Porto4,Porto3,0
Navio200,18,17,83988,15,16,24,9,89,2008,CG,Porto5,Porto5,1
Navio201,57,15,121386,19,13,26,19,81,1995,GS,Porto4,Porto1,0
Navio202,27,14,32993,13,17,23,10,112,2012,GLP,Porto4,Porto4,1
Navio203,53,16,171231,10,9,15,15,69,1998,GL,Porto4,Porto5,0
Navio204,50,17,89016,18,9,28,14,46,2004,GS,Porto4,Porto1,0
Navio205,37,12,195650,12,15,23,6,64,1999,GLP,Porto3,Porto4,0
Navio206,20,13,45316,17,16,16,17,97,2006,GS,Porto4,Porto5,1
Navio207,38,11,176457,9,17,15,12,10,2008,CNTR,Porto5,Porto5,0
Navio208,58,13,95959,16,11,22,15,33,2019,GL,Porto2,Porto3,1
Navio209,47,14,123672,11,16,32,18,77,1991,CG,Porto3,Porto2,0
Navio210,26,16,43521,9,17,11,18,17,2011,GSM,Porto1,Porto5,1
Navio211,55,17,128920,9,18,14,6,30,2013,GSM,Porto3,Porto3,1
Navio212,35,17,131991,8,12,24,18,32,1994,CNTR,Porto2,Porto4,0
Navio213,25,11,191818,10,16,24,19,112,1991,GL,Porto1,Porto5,0
Navio214,58,7,165605,9,15,15,6,104,2011,GLP,Porto5,Porto5,0
Navio215,52,10,41375,8,14,22,11,37,2021,CG,Porto3,Porto4,1
Navio216,43,13,179464,18,12,21,10,53,1996,CNTR,Porto2,Porto4,0
Navio217,55,14,146927,17,9,16,16,75,1992,CNTR,Porto3,Porto3,0
Navio218,17,13,39471,14,18,18,9,37,2005,CG,Porto5,Porto1,0
Navio219,42,13,95535,13,17,21,14,105,2010,GS,Porto5,Porto3,1
Navio220,34,15,59150,18,13,13,17,80,2022,CNTR,Porto5,Porto3,1
Navio221,40,15,173987,14,10,27,16,49,2014,CG,Porto5,Porto2,0
Navio222,38,6,177897,17,10,25,12,62,1996,CG,Porto4,Porto4,0
Navio223,35,12,190833,14,12,26,17,15,1999,GSM,Porto3,Porto2,0
Navio224,44,9,45978,13,12,22,10,92,2003,GLP,Porto5,Porto1,0
Navio225,18,13,170114,19,10,25,16,82,1999,GSM,Porto5,Porto1,0
Navio226,50,8,196469,16,13,25,10,112,2010,GS,Porto1,Porto3,0
Navio227,54,12,56213,9,10,27,14,30,2003,GLP,Porto3,Porto5,0
Navio228,24,9,134083,15,10,21,13,99,2003,GL,Porto2,Porto4,0
Navio229,24,11,147794,14,13,19,11,108,2002,CNTR,Porto5,Porto1,0
Navio230,56,14,131348,11,13,11,14,25,2011,CG,Porto2,Porto5,1
Navio231,38,15,77192,14,19,32,14,10,2002,GS,Porto1,Porto5,0
Navio232,18,11,38798,12,11,16,16,92,2004,GL,Porto5,Porto2,0
Navio233,41,17,189425,14,13,33,6,42,1999,CNTR,Porto3,Porto1,0
Navio234,59,6,95901,14,8,15,17,62,2017,GL,Porto3,Porto4,1
Navio235,18,16,183391,18,11,21,6,77,2020,GLP,Porto5,Porto5,0
Navio236,46,12,89456,15,17,13,17,93,2009,GLP,Porto5,Porto1,1
Navio237,24,15,113364,19,14,27,13,57,2011,GSM,Porto3,Porto5,0
Navio238,25,17,66412,8,19,27,12,30,1996,CNTR,Porto5,Porto4,0
Navio239,42,7,156642,11,18,26,18,101,1992,GSM,Porto5,Porto4,0
Navio240,22,10,106983,10,18,34,9,54,2009,GL,Porto5,Porto2,1
Navio241,54,16,63236,11,17,29,17,113,1994,CNTR,Porto4,Porto1,0
Navio242,36,13,160884,15,8,27,8,24,2006,GSM,Porto3,Porto5,0
Navio243,48,11,142389,11,10,31,16,110,2007,CG,Porto1,Porto5,1
Navio244,59,8,148222,11,13,10,8,47,2003,GLP,Porto2,Porto1,0
Navio245,49,16,63814,11,14,28,17,41,2015,CNTR,Porto2,Porto2,1
Navio246,49,12,128255,19,19,27,14,17,2003,GS,Porto4,Porto5,0
Navio247,39,10,124291,15,13,25,8,99,2011,GL,Porto5,Porto4,1
Navio248,48,17,84092,18,18,14,11,76,1994,CNTR,Porto3,Porto5,0
Navio249,20,13,93655,11,15,14,11,37,2016,GS,Porto3,Porto5,1
Navio250,55,9,155728,16,15,22,12,82,2012,GSM,Porto1,Porto4,0
Navio251,51,12,37865,14,15,11,6,39,2004,CNTR,Porto4,Porto4,0
Navio252,15,17,57066,14,16,24,11,20,2004,GS,Porto5,Porto1,0
Navio253,26,17,75514,10,9,10,14,11,2009,GLP,Porto2,Porto2,1
Navio254,49,13,168133,18,8,26,11,85,2015,GSM,Porto5,Porto2,0
Navio255,20,17,130604,11,16,12,6,74,2020,CG,Porto2,Porto4,1
Navio256,31,6,153585,12,10,21,12,49,2001,CG,Porto4,Porto3,0
Navio257,23,12,173885,14,15,30,10,101,2020,GL,Porto4,Porto5,0
Navio258,16,10,169051,13,13,18,18,89,2012,GSM,Porto4,Porto2,0
Navio259,32,8,120947,19,10,27,16,24,1991,GLP,Porto1,Porto3,0
Navio260,50,17,36365,13,19,32,14,114,2016,GSM,Porto1,Porto5,0
Navio261,42,9,170297,10,16,29,13,104,2006,CNTR,Porto5,Porto1,0
Navio262,55,8,194406,9,17,28,12,19,2006,GSM,Porto1,Porto1,0
Navio263,51,16,182408,16,18,12,17,10,2022,GLP,Porto1,Porto5,0
Navio264,40,6,57319,13,14,18,16,52,2006,CNTR,Porto3,Porto2,1
Navio265,18,15,192276,10,18,33,18,71,1995,GLP,Porto5,Porto2,0
Navio266,54,11,84906,12,15,32,15,21,2000,CG,Porto3,Porto2,0
Navio267,50,14,170087,12,13,19,14,30,2001,CNTR,Porto2,Porto1,0
Navio268,45,7,167492,17,9,23,17,48,2011,GSM,Porto3,Porto2,0
Navio269,44,6,78549,9,13,34,15,41,2012,GL,Porto1,Porto5,1
Navio270,48,15,78957,17,12,25,15,25,2022,CNTR,Porto4,Porto5,1
Navio271,33,17,181534,12,19,24,9,10,2022,GL,Porto1,Porto1,0
Navio272,32,11,107608,14,10,34,10,114,2007,CNTR,Porto5,Porto5,1
Navio273,44,17,170670,19,10,18,5,44,2003,GS,Porto1,Porto4,0
Navio274,35,17,124787,10,19,32,10,58,2009,GS,Porto4,Porto4,0
Navio275,17,15,175027,11,19,26,17,33,2011,GLP,Porto4,Porto4,0
Navio276,20,17,172246,18,10,16,14,81,1994,CG,Porto5,Porto1,0
Navio277,52,16,141705,11,14,34,14,72,2014,CNTR,Porto1,Porto5,1
Navio278,27,8,45529,17,19,27,14,72,2013,GSM,Porto1,Porto2,0
Navio279,59,7,193564,12,19,28,15,116,1991,CG,Porto3,Porto2,0
Navio280,17,17,99111,17,9,15,16,47,1997,CG,Porto2,Porto2,0
Navio281,42,16,171634,19,11,11,11,98,2000,CG,Porto2,Porto3,0
Navio282,36,9,145257,15,17,19,13,38,1991,CNTR,Porto2,Porto2,0
Navio283,54,6,50123,13,14,23,9,90,2012,GL,Porto1,Porto3,1
Navio284,54,17,165662,10,15,24,15,60,1997,GL,Porto3,Porto2,0
Navio285,26,12,169507,8,16,11,19,84,1999,CNTR,Porto3,Porto5,0
Navio286,37,6,53781,8,11,34,14,95,2018,CNTR,Porto2,Porto5,1
Navio287,45,13,156010,11,9,15,17,87,2009,GLP,Porto1,Porto3,0
Navio288,32,15,162216,18,16,34,10,102,1995,GL,Porto2,Porto5,0
Navio289,21,9,40396,18,19,34,5,48,2016,GS,Porto4,Porto4,0
Navio290,22,17,96492,15,11,27,16,110,1998,GL,Porto3,Porto5,0
Navio291,33,14,122387,17,15,17,14,16,2011,CNTR,Porto5,Porto3,1
Navio292,43,10,45257,11,18,15,16,82,2007,GLP,Porto3,Porto5,1
Navio293,58,10,184058,9,13,16,7,48,1995,GL,Porto3,Porto5,0
Navio294,34,11,170753,19,12,21,19,113,2004,CNTR,Porto2,Porto3,0
Navio295,56,7,41481,11,14,24,18,46,2022,CNTR,Porto1,Porto1,1
Navio296,44,12,55351,14,19,34,19,39,2017,GS,Porto2,Porto3,0
Navio297,36,14,91363,15,12,18,16,69,2020,CG,Porto2,Porto5,1
Navio298,24,12,126423,12,11,33,6,22,1996,GL,Porto1,Porto1,0
Navio299,40,16,46809,10,13,15,6,89,2002,GS,Porto2,Porto3,0
Navio300,47,7,144452,18,15,12,13,19,2001,GSM,Porto5,Porto2,0
Navio301,42,10,31313,8,10,30,15,46,2017,CNTR,Porto3,Porto4,1
Navio302,24,10,142241,10,16,34,12,35,2007,CG,Porto5,Porto3,1
Navio303,43,17,30120,9,13,25,13,23,2008,GL,Porto1,Porto5,1
Navio304,58,15,121388,8,15,25,11,59,2005,GLP,Porto1,Porto1,0
Navio305,32,14,60218,17,19,18,16,80,1994,GL,Porto4,Porto1,0
Navio306,56,12,136060,14,11,19,17,111,2006,GLP,Porto2,Porto1,1
Navio307,15,8,129040,11,17,28,14,40,1998,GLP,Porto2,Porto1,0
Navio308,37,9,149768,11,8,18,13,59,2001,GS,Porto4,Porto1,0
Navio309,31,14,196291,14,19,25,10,29,2002,GS,Porto4,Porto4,0
Navio310,57,6,122561,14,10,15,6,38,2012,GL,Porto2,Porto1,1
Navio311,51,11,96007,13,16,16,18,86,2011,GSM,Porto2,Porto3,1
Navio312,45,14,181150,11,13,26,9,50,1999,GSM,Porto2,Porto4,0
Navio313,39,13,37124,18,9,15,6,106,2002,GL,Porto3,Porto2,0
Navio314,18,11,147732,18,14,22,8,107,2007,GS,Porto1,Porto5,1
Navio315,23,12,96956,19,16,32,19,86,2013,GL,Porto3,Porto1,0
Navio316,42,11,72668,18,9,31,17,65,2005,CG,Porto5,Porto4,0
Navio317,44,13,180351,18,11,14,7,47,1993,GLP,Porto3,Porto5,0
Navio318,38,17,102101,17,15,24,12,26,2021,CNTR,Porto5,Porto1,1
Navio319,47,16,83656,12,19,32,5,92,2001,GS,Porto3,Porto5,0
Navio320,34,10,31709,19,8,23,14,39,2022,CNTR,Porto2,Porto3,0
Navio321,23,17,87524,8,10,27,16,33,2005,CG,Porto3,Porto5,0
Navio322,22,17,94188,17,8,25,13,62,2015,GS,Porto3,Porto3,1
Navio323,38,8,38583,19,13,26,6,30,2005,GL,Porto5,Porto3,0
Navio324,28,12,187550,16,12,18,8,97,1991,CNTR,Porto3,Porto2,0
Navio325,32,12,52791,8,19,23,9,11,2019,GL,Porto5,Porto1,0
Navio326,15,14,61855,9,18,31,15,53,2006,GSM,Porto5,Porto5,1
Navio327,26,7,84469,12,13,26,14,34,2019,GS,Porto4,Porto1,1
Navio328,43,6,51785,17,14,12,18,39,2019,CG,Porto1,Porto3,1
Navio329,51,11,124753,8,15,19,14,44,1990,GS,Porto3,Porto1,0
Navio330,40,6,183044,17,8,19,6,119,2012,CNTR,Porto2,Porto3,0
Navio331,47,16,115075,19,15,20,15,115,1992,GS,Porto4,Porto1,0
Navio332,57,7,37625,18,15,16,14,80,2009,CNTR,Porto5,Porto4,1
Navio333,29,10,57774,12,12,13,15,108,1997,GLP,Porto1,Porto3,0
Navio334,37,16,172423,12,16,34,18,85,2004,GLP,Porto3,Porto1,0
Navio335,43,7,31853,10,16,34,7,106,2020,GS,Porto5,Porto2,1
Navio336,35,15,107626,16,18,24,17,13,1993,CG,Porto4,Porto2,0
Navio337,33,6,117666,10,12,31,18,91,2000,GS,Porto4,Porto4,0
Navio338,19,9,181674,9,11,14,5,82,2012,GLP,Porto2,Porto2,0
